gene	a	b
A1BG	0.944710246349563	0.0296390152503892
A1CF	0.249302440773561	0.0176594069960543
A2M	0.249302440773561	0.0176594069960543
A3GALT2	0.944710246349563	0.0296390152503892
A4GALT	0.28814005341007	0.00914277495177951
AAAS	0.249302440773561	0.0176594069960543
AACS	0.249302440773561	0.0176594069960543
AADAC	0.28814005341007	0.00914277495177951
AADACL2	0.944710246349563	0.0296390152503892
AADACL3	0.28814005341007	0.00914277495177951
AADACL4	0.28814005341007	0.00914277495177951
AADAT	0.944710246349563	0.0296390152503892
AAED1	0.28814005341007	0.00914277495177951
AAGAB	0.944710246349563	0.0296390152503892
AAK1	0.249302440773561	0.0176594069960543
AAMDC	0.28814005341007	0.00914277495177951
AAMP	0.944710246349563	0.0296390152503892
AANAT	0.28814005341007	0.00914277495177951
AAR2	0.28814005341007	0.00914277495177951
AARD	0.28814005341007	0.00914277495177951
AARS	0.249302440773561	0.0176594069960543
AARS2	0.249302440773561	0.0176594069960543
AARSD1	0.944710246349563	0.0296390152503892
AASDH	0.249302440773561	0.0176594069960543
AASDHPPT	0.944710246349563	0.0296390152503892
AASS	0.249302440773561	0.0176594069960543
AATF	0.249302440773561	0.0176594069960543
ABAT	0.944710246349563	0.0296390152503892
ABCA1	0.249302440773561	0.0176594069960543
ABCA12	0.249302440773561	0.0176594069960543
ABCA2	0.249302440773561	0.0176594069960543
ABCA3	0.249302440773561	0.0176594069960543
ABCA5	0.249302440773561	0.0176594069960543
ABCA6	0.249302440773561	0.0176594069960543
ABCB1	0.249302440773561	0.0176594069960543
ABCB10	0.249302440773561	0.0176594069960543
ABCB11	0.249302440773561	0.0176594069960543
ABCB4	0.249302440773561	0.0176594069960543
ABCB6	0.249302440773561	0.0176594069960543
ABCB8	0.249302440773561	0.0176594069960543
ABCB9	0.944710246349563	0.0296390152503892
ABCC1	0.249302440773561	0.0176594069960543
ABCC10	0.249302440773561	0.0176594069960543
ABCC4	0.249302440773561	0.0176594069960543
ABCC5	0.249302440773561	0.0176594069960543
ABCC8	0.249302440773561	0.0176594069960543
ABCD2	0.249302440773561	0.0176594069960543
ABCD3	0.249302440773561	0.0176594069960543
ABCD4	0.249302440773561	0.0176594069960543
ABCE1	0.249302440773561	0.0176594069960543
ABCF1	0.249302440773561	0.0176594069960543
ABCF2	0.249302440773561	0.0176594069960543
ABCF3	0.249302440773561	0.0176594069960543
ABCG1	0.944710246349563	0.0296390152503892
ABCG4	0.944710246349563	0.0296390152503892
ABCG5	0.249302440773561	0.0176594069960543
ABHD1	0.944710246349563	0.0296390152503892
ABHD10	0.944710246349563	0.0296390152503892
ABHD11	0.944710246349563	0.0296390152503892
ABHD12	0.944710246349563	0.0296390152503892
ABHD13	0.28814005341007	0.00914277495177951
ABHD14A	0.28814005341007	0.00914277495177951
ABHD15	0.944710246349563	0.0296390152503892
ABHD16A	0.249302440773561	0.0176594069960543
ABHD17B	0.944710246349563	0.0296390152503892
ABHD2	0.944710246349563	0.0296390152503892
ABHD3	0.944710246349563	0.0296390152503892
ABHD4	0.944710246349563	0.0296390152503892
ABHD5	0.944710246349563	0.0296390152503892
ABHD6	0.944710246349563	0.0296390152503892
ABHD8	0.944710246349563	0.0296390152503892
ABI1	0.944710246349563	0.0296390152503892
ABI2	0.944710246349563	0.0296390152503892
ABI3	0.944710246349563	0.0296390152503892
ABI3BP	0.249302440773561	0.0176594069960543
ABL1	0.249302440773561	0.0176594069960543
ABL2	0.249302440773561	0.0176594069960543
ABLIM1	0.249302440773561	0.0176594069960543
ABLIM2	0.249302440773561	0.0176594069960543
ABLIM3	0.249302440773561	0.0176594069960543
ABR	0.249302440773561	0.0176594069960543
ABRA	0.944710246349563	0.0296390152503892
ABRACL	0.28814005341007	0.00914277495177951
ABT1	0.28814005341007	0.00914277495177951
ABTB2	0.249302440773561	0.0176594069960543
AC004381.6	0.249302440773561	0.0176594069960543
AC006435.1	0.28814005341007	0.00914277495177951
AC010441.1	0.28814005341007	0.00914277495177951
AC110615.1	0.28814005341007	0.00914277495177951
ACAA1	0.944710246349563	0.0296390152503892
ACAA2	0.944710246349563	0.0296390152503892
ACACA	0.249302440773561	0.0176594069960543
ACAD8	0.249302440773561	0.0176594069960543
ACAD9	0.249302440773561	0.0176594069960543
ACADL	0.944710246349563	0.0296390152503892
ACADM	0.944710246349563	0.0296390152503892
ACADS	0.944710246349563	0.0296390152503892
ACADSB	0.944710246349563	0.0296390152503892
ACADVL	0.249302440773561	0.0176594069960543
ACAN	0.249302440773561	0.0176594069960543
ACAP1	0.249302440773561	0.0176594069960543
ACAP2	0.249302440773561	0.0176594069960543
ACAP3	0.249302440773561	0.0176594069960543
ACAT1	0.944710246349563	0.0296390152503892
ACAT2	0.944710246349563	0.0296390152503892
ACBD3	0.249302440773561	0.0176594069960543
ACBD4	0.944710246349563	0.0296390152503892
ACBD5	0.249302440773561	0.0176594069960543
ACBD6	0.944710246349563	0.0296390152503892
ACCS	0.944710246349563	0.0296390152503892
ACCSL	0.944710246349563	0.0296390152503892
ACD	0.249302440773561	0.0176594069960543
